BioFIND,ADNI
0.495798694,0.26923893
0.147883318,-0.474967284
0.34804817,-0.445312416
0.955602061,0.773993615
0.781280142,1.153753501
0.889488388,1.026286402
0.846893069,1.097694626
0.415686328,-0.358805897
0.954416675,0.285186037
1.224727691,1.285366752
0.343435809,0.658275769
0.859376165,0.194964915
0.603570616,-0.017464624
0.605431947,0.230707846
0.373415491,-0.095084651
0.734815423,-0.071746842
0.299085232,0.528174568
0.44650086,1.289827947
0.069947548,0.070197915
0.539676782,1.291099971
-0.037259721,-0.594201803
0.769657397,0.230291284
0.311761561,0.125437723
0.220030555,0.560813949
-0.046408152,-0.157191861
0.31740286,0.170131721
0.884856128,0.356882119
0.770049808,0.186134357
0.574440921,0.30347376
0.448206029,-0.123847956
1.207774662,0.027709445
0.349431708,0.805985918
0.459259011,0.663986379
0.614546031,-0.155419295
1.418227079,1.076560073
0.172213851,0.361307429
0.138945746,-0.111588604
0.138996465,-0.319082646
0.314318525,0.759614641
-2.961104267,-2.387704034
-1.86802561,-0.982461617
-1.44717773,-1.313641067
-2.17804792,0.18541283
-4.858472959,-5.211801512
-4.233243263,-3.15169203
-0.852676943,-2.787778225
