subID.calcFD	label1002	label1003	label1005	label1006	label1007	label1008	label1009	label1010	label1011	label1012	label1013	label1014	label1015	label1016	label1017	label1018	label1019	label1020	label1021	label1022	label1023	label1024	label1025	label1026	label1027	label1028	label1029	label1030	label1031	label1034	label1035	label2002	label2003	label2005	label2006	label2007	label2008	label2009	label2010	label2011	label2012	label2013	label2014	label2015	label2016	label2017	label2018	label2019	label2020	label2021	label2022	label2023	label2024	label2025	label2026	label2027	label2028	label2029	label2030	label2031	label2034	label2035	
Sub1021	1.9638	2.1065	1.9522	1.9833	2.1091	2.1938	2.1181	1.9350	2.1292	2.1273	2.0913	2.0279	2.1495	1.9292	1.9910	2.0461	1.9591	2.0411	1.9266	2.0586	1.9810	2.1041	2.1141	1.9491	2.1372	2.2070	2.0789	2.1830	2.1594	1.8313	2.0747	1.9203	2.0666	1.9495	1.9609	2.1363	2.2213	2.1488	1.9052	2.1628	2.1155	2.0963	2.0087	2.1759	1.9172	2.0103	2.0631	1.9732	2.0373	1.9342	2.0017	1.9645	2.1101	2.1211	1.8890	2.1433	2.2157	2.1005	2.2032	2.1254	1.7589	2.0968	0.0000	
Sub1022	1.9632	2.0872	1.9531	1.7311	2.0351	2.1750	2.0598	1.8736	2.0961	2.0816	2.0714	1.9632	2.0750	1.8430	1.9912	2.0214	1.8947	2.0179	1.8631	2.0579	1.9648	2.0988	2.0966	1.8619	2.1194	2.2064	2.0692	2.1273	2.1692	1.8538	2.0216	1.9128	2.0601	1.9392	1.7306	2.0638	2.1983	2.1344	1.8554	2.1639	2.0797	2.0919	2.0110	2.1639	1.8917	1.9863	2.0467	1.9135	2.0339	1.9081	2.0592	1.9988	2.0922	2.1170	1.9194	2.1191	2.2080	2.0555	2.1273	2.1447	1.7148	2.0570	0.0000	
Sub1023	2.0298	2.0876	1.9612	1.9550	2.0945	2.1658	2.1472	1.9267	2.1587	2.0943	2.0739	2.0252	2.1307	1.9413	2.0168	2.0054	1.9707	1.9909	1.8468	2.0614	2.0721	2.1077	2.1165	2.0142	2.1169	2.2108	2.0962	2.1879	2.1715	1.8411	2.0619	1.9124	2.0625	1.9685	1.9433	2.1129	2.2057	2.1227	1.8840	2.1565	2.0907	2.0455	2.0094	2.1336	1.8647	2.0516	2.0362	1.9600	1.9816	1.8922	2.0528	1.9837	2.0971	2.1105	1.8907	2.1275	2.2218	2.0916	2.1766	2.1407	1.7043	2.0921	0.0000	
Sub1024	2.0238	2.1171	1.9679	2.0121	2.1179	2.1864	2.1715	1.8776	2.1344	2.0975	2.0810	2.0409	2.1421	1.9182	2.0042	2.0452	1.9670	2.0478	1.8648	2.0600	2.0112	2.1170	2.0986	1.9577	2.1264	2.2013	2.0779	2.1658	2.1289	1.7910	2.0884	1.9443	2.0964	1.9466	1.9714	2.1085	2.2462	2.1199	1.8700	2.1637	2.1149	2.0941	2.0053	2.1606	1.9245	2.0025	2.0523	1.9618	2.0507	1.8987	2.0376	1.9696	2.1334	2.1333	1.9397	2.1609	2.2074	2.1196	2.1601	2.1385	1.6914	2.0828	0.0000	
Sub1025	2.0110	2.0550	1.9421	1.9319	2.1097	2.1306	2.1636	1.9341	2.1250	2.0956	2.0859	2.0350	2.1421	1.7994	1.9803	2.0482	1.9135	2.0090	1.8345	2.0758	2.0120	2.1046	2.0880	2.0276	2.1049	2.2019	2.0516	2.1484	2.0931	1.7258	2.0818	2.0102	2.0912	1.9268	1.8906	2.0851	2.1547	2.1664	1.9151	2.1470	2.1145	2.0970	2.0100	2.1663	1.8533	1.9262	2.0344	1.9284	2.0425	1.8768	2.0511	2.0284	2.0923	2.0711	1.9921	2.1144	2.1951	2.0422	2.1392	2.1251	1.6826	2.0631	0.0000	
Sub1026	2.0089	2.0798	1.9789	1.8578	2.1390	2.1493	2.1551	1.8925	2.1592	2.0820	2.0889	1.9570	2.1414	1.9256	1.9925	2.0397	1.9341	2.0185	1.8657	2.0568	1.9967	2.1229	2.0504	1.9711	2.1194	2.2090	2.0798	2.1636	2.1580	1.7889	2.0721	1.9213	2.0810	1.9775	1.8971	2.1188	2.1660	2.1504	1.8865	2.1644	2.0920	2.0979	1.9862	2.1711	1.9186	1.9893	2.0286	1.9633	2.0258	1.9067	2.0185	1.9865	2.1191	2.0718	1.8825	2.1076	2.2112	2.0689	2.1614	2.1372	1.7217	2.0660	0.0000	
Sub1027	2.0165	2.0848	1.9995	1.8666	2.1388	2.1591	2.1620	1.8949	2.1670	2.1028	2.0957	1.9788	2.1500	1.9248	1.9968	2.0567	1.9362	2.0318	1.8709	2.0638	2.0026	2.1262	2.0511	1.9769	2.1307	2.2081	2.0881	2.1724	2.1609	1.7949	2.0743	1.9101	2.0954	1.9829	1.8841	2.1208	2.1782	2.1573	1.8914	2.1707	2.1001	2.1041	2.0068	2.1753	1.9165	1.9902	2.0534	1.9660	2.0384	1.9126	2.0236	1.9845	2.1324	2.0760	1.8719	2.1231	2.2179	2.0735	2.1767	2.1510	1.7355	2.0732	0.0000	
Sub1028	1.9715	2.0918	1.9456	1.6928	2.0653	2.1552	2.1181	1.9012	2.1369	2.0871	2.1031	1.9216	2.1256	1.9423	1.9917	1.9973	1.8670	2.0306	1.8856	2.0121	1.9775	2.0816	2.0584	1.9451	2.1139	2.1898	2.0352	2.1226	2.0960	1.7839	2.0650	1.9303	2.0578	1.9176	1.7394	2.0561	2.1412	2.0838	1.8685	2.1548	2.0949	2.0438	1.9506	2.1379	1.8631	1.9968	2.0565	1.9520	2.0199	1.8496	2.0288	1.9723	2.0919	2.0762	1.9165	2.1061	2.1847	2.0346	2.1077	2.1113	1.7333	2.0473	0.0000	
Sub1029	1.9308	2.0459	1.9554	1.9178	2.0488	2.1000	2.0835	1.8996	2.1142	2.0461	2.0235	1.9561	2.1008	1.9038	1.9669	1.9763	1.8951	1.9570	1.8133	1.9958	1.9598	2.0436	2.0591	1.9254	2.0281	2.1434	2.0387	2.1239	2.0789	1.7216	2.0203	1.9180	2.0225	1.9124	1.8664	2.0731	2.1416	2.1108	1.8124	2.0899	2.0527	2.0156	1.9327	2.1090	1.8225	1.9233	1.9699	1.8574	1.9890	1.8340	1.9572	1.9359	2.0484	2.0580	1.8762	2.0424	2.1670	2.0321	2.1530	2.0745	1.6625	2.0040	0.0000	
Sub1030	2.0245	2.1077	1.9848	1.9047	2.1082	2.1854	2.1565	1.9276	2.1808	2.1132	2.0730	2.0230	2.1570	1.8718	2.0088	2.0844	1.9914	2.0705	1.7796	2.0636	2.0346	2.1166	2.1142	2.0028	2.1531	2.2250	2.0567	2.1862	2.1344	1.7749	2.1325	1.9589	2.0878	1.9253	1.8953	2.0842	2.1796	2.1666	1.9192	2.1955	2.1155	2.1078	2.0116	2.1848	1.9015	1.9761	2.0660	2.0138	2.0115	1.8242	2.0393	2.0384	2.1052	2.1151	1.8911	2.1544	2.2320	2.0950	2.1998	2.1564	1.7226	2.1202	0.0000	
Sub1031	1.9514	2.0566	1.9598	1.8753	2.0262	2.0974	2.0612	1.9445	2.0905	2.0770	2.0332	1.9943	2.0549	1.8863	1.9637	1.9969	1.9508	1.9643	1.8459	2.0020	1.9577	2.0604	2.0405	1.9431	2.0685	2.1800	2.0353	2.1183	2.1334	1.7590	2.0516	1.9297	1.9552	1.9328	1.7684	2.0317	2.1548	2.0887	1.8882	2.1096	2.0666	2.0187	1.9639	2.1161	1.8720	1.9261	2.0240	1.9195	1.9917	1.8711	2.0137	1.9607	2.0419	2.0717	1.8599	2.0613	2.1931	2.0099	2.1256	2.0944	1.7130	2.0519	0.0000	
Sub1032	2.0174	2.1341	1.9857	1.9080	2.1301	2.1748	2.1698	1.9000	2.1411	2.1046	2.1090	2.0043	2.1459	1.9576	2.0042	2.0446	1.8735	2.0350	1.9417	2.0774	2.0192	2.1167	2.1173	1.9962	2.1420	2.2177	2.0638	2.1904	2.1554	1.8401	2.0759	1.9435	2.1007	1.9300	1.9047	2.1057	2.2325	2.1739	1.8873	2.1565	2.1150	2.0933	2.0310	2.1656	1.9182	1.9768	2.0904	1.9275	2.0154	1.9611	2.0363	2.0250	2.1269	2.1118	1.9085	2.1314	2.2296	2.0801	2.2034	2.1539	1.7484	2.0797	0.0000	
